epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,172.791,0.35538,0.03581,0.04168,0.30315,0.83961,0.99704,1,0.995,0.93311,0.99704,1,0.995,0.995,0.37033,0.01715,0.00234,0.27328,0.80843,0.0009803,0.0009803,0.0009803
105,174.486,0.38857,0.04679,0.0451,0.3073,0.84921,1,1,0.995,0.94784,1,1,0.995,0.995,0.3311,0.02145,0.00266,0.27482,0.80369,0.0009704,0.0009704,0.0009704
106,176.173,0.37622,0.04248,0.04616,0.30453,0.83568,0.99706,1,0.995,0.94631,0.99706,1,0.995,0.995,0.35597,0.01946,0.00313,0.28699,0.80809,0.0009605,0.0009605,0.0009605
107,177.81,0.38436,0.04717,0.03687,0.31316,0.83442,0.99703,1,0.995,0.95435,0.99703,1,0.995,0.995,0.34778,0.02643,0.00273,0.27834,0.80836,0.0009506,0.0009506,0.0009506
108,179.472,0.38128,0.03918,0.04749,0.30598,0.82876,0.99707,1,0.995,0.95517,0.99707,1,0.995,0.995,0.35427,0.02236,0.00362,0.27678,0.80781,0.0009407,0.0009407,0.0009407
109,181.12,0.35912,0.03576,0.04073,0.30013,0.84303,0.99716,1,0.995,0.9526,0.99716,1,0.995,0.995,0.34807,0.02014,0.00347,0.25445,0.8136,0.0009308,0.0009308,0.0009308
110,182.784,0.38086,0.03985,0.04768,0.30681,0.84443,0.99712,1,0.995,0.95173,0.99712,1,0.995,0.995,0.35957,0.01952,0.00314,0.2916,0.80695,0.0009209,0.0009209,0.0009209
111,184.461,0.37842,0.03489,0.0298,0.30858,0.84772,0.99713,1,0.995,0.96132,0.99713,1,0.995,0.995,0.32568,0.01812,0.00441,0.26768,0.80262,0.000911,0.000911,0.000911
112,186.134,0.40174,0.03642,0.03652,0.31727,0.84892,0.99705,1,0.995,0.94251,0.99705,1,0.995,0.995,0.36446,0.01985,0.00181,0.2802,0.80404,0.0009011,0.0009011,0.0009011
113,187.786,0.36794,0.03498,0.03695,0.30696,0.84407,0.99703,1,0.995,0.95039,0.99703,1,0.995,0.995,0.35314,0.01771,0.00208,0.28056,0.81145,0.0008912,0.0008912,0.0008912
114,189.426,0.37854,0.03678,0.02738,0.29657,0.8298,0.99712,1,0.995,0.95033,0.99712,1,0.995,0.995,0.35622,0.02082,0.00241,0.28295,0.80575,0.0008813,0.0008813,0.0008813
115,191.039,0.38663,0.04155,0.04259,0.30271,0.8419,0.99718,1,0.995,0.96799,0.99718,1,0.995,0.995,0.31802,0.02156,0.00228,0.26666,0.7985,0.0008714,0.0008714,0.0008714
116,192.723,0.38495,0.03659,0.05395,0.29933,0.85326,0.99713,1,0.995,0.95472,0.99713,1,0.995,0.995,0.33423,0.01752,0.0027,0.25702,0.79682,0.0008615,0.0008615,0.0008615
117,194.409,0.3521,0.03899,0.04507,0.29085,0.84185,0.99711,1,0.995,0.94967,0.99711,1,0.995,0.995,0.32672,0.01669,0.00306,0.25831,0.80383,0.0008516,0.0008516,0.0008516
118,196.052,0.37008,0.03763,0.0556,0.29638,0.83412,0.99703,1,0.995,0.95827,0.99703,1,0.995,0.995,0.32983,0.01593,0.00279,0.2922,0.80554,0.0008417,0.0008417,0.0008417
119,197.673,0.34083,0.03087,0.03796,0.28397,0.8405,0.99709,1,0.995,0.96625,0.99709,1,0.995,0.995,0.30837,0.01632,0.00245,0.25627,0.80024,0.0008318,0.0008318,0.0008318
120,199.349,0.35675,0.02952,0.03256,0.29221,0.83108,0.99709,1,0.995,0.96795,0.99709,1,0.995,0.995,0.33717,0.01584,0.00204,0.2591,0.80544,0.0008219,0.0008219,0.0008219
121,200.99,0.36765,0.04358,0.05085,0.29685,0.83263,0.99705,1,0.995,0.95894,0.99705,1,0.995,0.995,0.32812,0.02109,0.00241,0.25929,0.80941,0.000812,0.000812,0.000812
